Name,Geography1,Sex,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
North East,Region,M,"1,312,124","13,683","14,153","14,549","15,284","15,230","15,644","15,921","16,421","16,356","16,180","15,828","15,970","15,491","15,438","14,552","14,434","14,372","14,097","14,897","17,349","18,658","18,965","18,317","18,053","17,842","18,166","18,091","18,703","18,930","17,918","17,146","16,769","16,293","16,861","16,301","15,652","15,750","15,414","15,621","15,842","15,320","13,860","13,334","13,977","14,230","14,409","15,571","16,835","17,803","16,988","17,324","17,699","18,311","18,669","19,187","18,805","18,851","18,782","17,835","17,316","17,509","17,286","16,665","15,786","15,094","15,019","14,787","14,089","14,156","14,153","14,602","15,078","16,321","12,053","11,573","11,042","9,616","8,689","7,926","7,764","7,689","7,172","6,532","5,674","5,274","4,450","3,941","3,453","2,940","2,365","7,179"
North West,Region,M,"3,625,650","41,709","42,869","44,518","45,855","45,693","46,029","46,790","47,916","46,906","46,227","45,776","46,567","45,121","44,650","42,717","41,793","40,776","40,472","41,449","43,391","46,270","46,801","48,828","48,569","48,524","49,314","50,123","51,368","53,025","51,374","49,327","49,049","46,772","47,739","47,863","46,016","46,116","45,725","45,649","45,412","43,633","40,537","39,421","40,573","41,887","42,774","44,978","48,159","49,720","48,792","50,737","49,950","50,997","50,082","51,054","50,942","49,565","49,300","47,233","45,281","44,068","43,303","41,440","39,640","37,761","37,969","37,796","36,150","36,314","36,859","37,884","39,482","42,346","31,102","29,361","29,195","26,527","23,295","21,092","20,839","19,792","18,629","16,547","14,979","13,254","11,154","9,821","8,641","7,528","6,196","19,983"
Yorkshire and The Humber,Region,M,"2,717,432","30,376","31,487","33,152","33,926","33,830","34,156","34,857","35,754","35,100","35,025","34,709","34,769","33,621","33,318","31,665","31,397","30,513","31,035","31,505","35,494","37,966","37,929","38,601","38,266","36,629","37,911","38,784","38,825","39,448","37,492","35,620","35,995","33,998","34,909","34,476","33,772","33,238","33,404","33,552","33,993","32,467","30,014","29,579","30,837","31,657","32,020","34,297","36,091","37,847","36,860","37,121","37,592","38,087","37,670","37,897","37,919","37,103","36,376","35,077","33,779","32,628","32,357","31,210","30,080","28,494","28,872","28,210","26,928","27,304","27,077","28,164","29,089","31,497","23,209","22,334","21,843","19,639","16,766","15,013","15,386","14,631","14,115","12,610","11,377","10,144","8,804","7,580","6,540","5,615","4,487","14,642"
East Midlands,Region,M,"2,391,957","25,404","26,861","27,983","28,866","29,501","29,136","29,792","30,974","30,625","29,904","29,563","30,020","28,896","28,500","27,238","27,389","26,485","25,909","27,679","33,023","34,440","33,481","33,038","31,726","31,348","32,317","31,973","31,646","32,629","31,316","29,745","29,612","28,427","29,010","29,017","28,623","28,576","28,668","29,083","29,738","28,293","26,200","26,180","27,241","27,995","28,851","30,721","32,625","33,790","32,090","33,911","34,110","34,469","34,246","34,765","34,041","33,630","32,631","31,774","30,168","29,336","28,624","27,549","26,732","25,728","25,861","25,724","24,981","25,396","25,520","25,662","26,977","29,439","22,222","21,369","21,082","18,855","16,146","13,988","13,927","13,642","12,574","11,283","10,094","9,202","7,806","6,943","6,267","5,301","4,382","13,453"
West Midlands,Region,M,"2,941,291","34,389","35,306","36,850","37,676","37,467","38,375","39,476","39,938","38,912","38,352","38,193","38,666","37,301","36,583","35,962","35,356","34,158","33,743","34,608","37,432","38,717","39,700","40,885","40,756","40,865","41,625","41,033","42,140","43,485","41,895","40,246","39,319","37,893","38,363","38,536","36,602","37,070","36,204","36,707","36,955","35,060","32,995","32,498","33,650","34,348","35,265","36,998","38,931","39,853","39,463","40,254","39,999","40,237","40,237","39,667","39,572","38,999","38,623","36,616","34,272","33,827","33,039","31,403","30,393","29,707","29,815","29,475","28,332","27,986","28,427","29,039","29,832","31,594","24,858","24,664","24,689","22,394","19,630","16,903","16,968","16,344","15,278","14,059","12,407","11,080","9,521","8,421","7,531","6,353","5,269","16,777"
East of England,Region,M,"3,072,499","35,102","36,918","38,270","39,421","39,393","39,825","40,664","41,406","41,263","40,437","39,911","40,408","38,744","37,818","36,313","35,964","34,846","34,519","34,435","31,712","31,721","33,512","35,587","36,391","36,605","38,192","36,793","37,067","38,190","38,172","38,627","39,500","38,671","39,379","38,806","38,103","38,076","39,457","39,724","40,372","39,395","36,927","37,003","37,680","38,508","39,043","40,748","42,018","42,960","42,344","43,588","43,043","44,229","44,276","44,041","43,236","42,451","41,487","40,168","37,995","36,900","36,311","34,867","33,403","31,830","32,099","31,577","30,564","30,576","31,221","32,197","34,586","37,775","28,825","27,229","26,764","24,107","20,985","17,737","18,325","17,829","17,190","15,912","14,018","13,060","11,335","9,938","8,961","7,599","6,459","20,866"
London,Region,M,"4,475,817","60,488","62,108","62,323","63,372","62,110","61,959","62,905","64,378","60,684","58,887","57,206","57,407","55,881","53,711","51,246","49,523","48,753","47,973","49,026","45,325","46,564","50,008","56,420","63,424","67,060","71,563","72,626","76,761","80,236","83,038","84,527","86,450","84,669","87,243","86,892","83,372","82,851","80,348","80,126","77,721","74,239","69,743","67,111","64,387","62,972","61,338","60,964","60,855","59,707","58,391","57,166","57,178","56,545","55,282","53,938","53,248","50,517","48,090","46,446","44,425","42,186","40,150","37,852","36,527","34,298","32,048","30,685","29,208","28,322","27,892","27,200","27,406","28,763","22,801","21,000","20,245","18,636","16,658","15,095","16,053","15,341","14,258","12,943","12,096","10,893","9,663","8,484","7,623","6,489","5,598","19,698"
South East,Region,M,"4,523,939","49,246","51,874","53,575","56,086","56,628","56,942","58,872","60,940","61,153","60,092","59,209","59,668","58,449","56,751","54,405","53,961","52,264","51,448","53,012","52,173","53,485","54,928","55,987","56,797","55,620","56,288","55,142","55,673","56,217","55,415","53,980","54,879","53,226","54,277","54,969","53,895","55,757","56,772","58,220","59,194","58,552","55,637","55,293","55,759","57,585","59,139","61,169","63,153","64,672","62,853","64,431","64,211","66,139","65,802","66,485","65,422","63,496","61,363","59,211","56,239","54,806","53,385","50,895","49,149","46,835","46,228","45,408","43,419","43,824","44,421","46,338","49,360","53,869","40,869","38,933","38,369","34,599","30,023","25,820","26,678","25,552","23,889","22,178","20,634","18,065","16,022","14,244","12,952","11,344","9,206","32,545"
South West,Region,M,"2,767,122","27,635","28,922","30,017","31,475","31,633","32,137","33,077","34,747","33,989","33,347","32,900","33,400","32,580","31,704","30,631","30,319","30,029","29,285","30,688","33,706","35,478","34,822","35,636","34,556","32,946","34,100","33,783","34,104","35,467","34,764","34,343","33,483","32,342","32,401","32,602","31,461","32,256","32,273","32,652","33,099","32,168","29,955","29,629","30,359","31,508","32,599","34,693","36,258","37,646","37,012","38,293","38,395","39,876","39,643","40,095","40,132","39,236","38,747","37,231","35,983","35,506","34,774","33,768","32,466","31,671","31,887","31,737","31,095","31,177","32,212","32,925","34,933","38,159","29,157","28,074","27,236","25,243","21,700","18,526","18,697","18,033","16,884","15,496","13,979","12,825","10,961","9,912","8,659","7,650","6,442","21,091"
North East,Region,F,"1,357,817","12,938","13,459","14,072","14,291","14,085","14,580","15,039","15,535","15,671","15,363","14,875","15,224","14,638","14,847","13,893","13,643","13,139","13,162","13,991","16,262","17,397","17,434","17,096","16,647","16,281","16,916","17,398","18,499","18,252","17,247","16,982","17,333","16,952","17,279","17,094","16,462","16,515","16,497","16,470","16,548","15,815","14,262","13,954","14,902","14,915","15,376","16,296","17,746","18,689","18,161","18,396","18,721","19,262","19,544","20,066","19,879","20,036","19,628","18,865","18,275","18,409","18,339","17,217","16,651","15,936","15,783","15,621","15,032","15,167","15,572","15,581","16,348","17,437","13,195","12,556","12,094","10,856","10,019","9,256","9,775","9,469","9,192","8,627","7,671","7,235","6,401","5,852","5,272","4,885","4,146","15,429"
