Name,Geography1,Sex,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
UK,Country,M,"32,978,229","371,576","386,072","398,693","411,883","411,576","414,890","423,939","436,175","429,626","420,942","416,804","420,435","407,426","398,281","383,486","377,844","368,405","364,437","375,939","392,588","409,863","417,910","432,740","438,189","436,369","450,326","448,552","459,046","471,462","462,714","453,849","454,817","439,802","447,789","446,085","432,076","434,413","432,853","437,060","437,482","421,790","393,363","387,840","393,401","400,472","406,788","424,886","442,944","453,979","443,759","454,492","454,552","462,402","458,869","462,400","457,484","447,432","437,699","421,755","403,136","393,200","384,208","368,698","354,603","339,429","337,661","331,841","319,092","319,137","322,371","329,074","342,943","368,417","280,126","267,180","262,739","238,533","208,283","182,487","184,443","177,139","166,187","150,863","136,325","122,828","106,041","93,770","83,112","71,405","58,821","193,416"
UK,Country,F,"33,818,578","351,305","366,482","378,616","390,451","390,609","394,262","403,210","415,884","409,054","401,870","396,970","399,834","385,979","379,568","365,083","359,011","348,651","344,045","357,128","368,920","387,384","393,313","409,461","412,222","415,629","429,080","434,064","452,160","457,517","449,328","449,593","457,183","449,885","448,939","449,190","440,577","444,657","444,596","446,110","445,843","426,330","397,316","390,974","400,508","407,545","415,287","433,425","452,121","470,086","458,847","470,262","470,114","473,887","475,466","478,571","473,299","462,252","450,432","435,024","417,395","408,020","398,521","383,517","369,044","355,945","356,713","350,470","340,599","342,114","348,201","354,458","371,986","399,606","308,119","296,958","293,434","272,986","243,226","217,590","221,575","216,466","206,425","193,241","179,876","165,978","149,501","136,897","126,965","114,758","100,820","411,765"
